Volatility 3 Framework 2.10.0

Offset	Name
0x830565a2c220	\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523
0x830565a2c3b0	\Windows\System32
0x830565a2c540	\$Directory
0x830565a2c6d0	\Windows\System32
0x830565a2c860	\Windows\System32\sppc.dll
0x830565a2c9f0	\Windows\System32\umpnpmgr.dll
0x830565a2cb80	\Windows\System32\en-US\services.exe.mui
0x830565a2cea0	\Windows\System32\slc.dll
0x830565a2d1c0	\Windows\System32\tdh.dll
0x830565a2d350	\Windows\System32\umpoext.dll
0x830565a2d4e0	\CMNotify
0x830565a2d670	\Windows\System32\hid.dll
0x830565a2d800	\$Directory
0x830565a2d990	\Windows\System32\windows.storage.dll
0x830565a2db20	\CMNotify
0x830565a2de40	\CMNotify
0x830565a2e480	\Dev\Query
0x830565a2e610	\Windows\System32\en-US\svchost.exe.mui
0x830565a2e7a0	\Windows\System32\umpo-overrides.dll
0x830565a2e930	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\heavy_ad_intervention_opt_out.db
0x830565a2eac0	\Windows\System32\SleepStudy\UserNotPresentSession.etl
0x830565a2ede0	\Windows\System32\gpapi.dll
0x830565a591e0	\Program Files\Microsoft OneDrive\24.171.0825.0002\vcruntime140_1.dll
0x830565a59370	\Program Files\Microsoft OneDrive\24.171.0825.0002\msvcp140.dll
0x830565a59690	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncClient.dll
0x830565a59820	\$CachedWriteThrough
0x830565a599b0	\Program Files\Microsoft OneDrive\24.171.0825.0002\Telemetry.dll
0x830565a59b40	\Program Files\Microsoft OneDrive\24.171.0825.0002\ucrtbase.dll
0x830565a59cd0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncRNWin32Lib.dll
0x830565a59e60	\Program Files\Microsoft OneDrive\24.171.0825.0002\OneDriveTelemetryStable.dll
0x830565a5a180	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncSessions.dll
0x830565a5a310	\Program Files\Microsoft OneDrive\24.171.0825.0002\LoggingPlatform.dll
0x830565a5a4a0	\Program Files\Microsoft OneDrive\24.171.0825.0002\en\FileSync.LocalizedResources.dll.mui
0x830565a5a950	\Windows\System32\Windows.System.Diagnostics.Telemetry.PlatformTelemetryClient.dll
0x830565a5aae0	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncTelemetryExtensions.dll
0x830565a5ac70	\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.2251_none_91a40448cc8846c1
0x830565a5ae00	\Windows\System32
0x830565a5b120	\Program Files\Microsoft OneDrive\24.171.0825.0002\FileSyncHost.dll
0x830565a5b440	\Program Files\Microsoft OneDrive\24.171.0825.0002\vcruntime140.dll
0x830565a5b760	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x830565a5b8f0	\Program Files\Microsoft OneDrive\24.171.0825.0002\SyncEngine.dll
0x830565a5ba80	\Program Files\Microsoft OneDrive\24.171.0825.0002\UpdateRingSettings.dll
0x830565a5bc10	\Program Files\Microsoft OneDrive\24.171.0825.0002\LogUploader.dll
